Geneid	data/sorted.bam
YDL246C	5
YDL243C	200
YDR387C	458
YDL094C	22
YDR438W	218
YDR523C	38
YDR542W	0
YDR492W	411
YDR018C	24
YDL189W	813
YDR508C	2343
YDR462W	445
YDR175C	829
YDR186C	1389
YDR150W	1817
YDR243C	232
YDL182W	9103
YDR362C	471
YDR232W	1321
YDR158W	7093
YDR439W	262
YDL206W	349
YDR125C	153
YDR338C	323
YDR526C	0
YDR533C	942
YDR272W	877
YDR197W	406
YDR512C	279
YDR489W	151
YDR299W	1106
YDL015C	2198
YDR304C	1664
YDR271C	0
YDL181W	751
YDR367W	485
YDR085C	253
YDL097C	3105
YDL139C	127
YDR200C	447
YDR191W	106
YDR451C	570
YDR469W	464
YDR470C	522
YDR105C	1087
YDR483W	2508
YDL123W	306
YDL199C	108
YDR505C	970
YDL045W-A	530
YDL045C	403
YDR361C	1033
YDR406W-A	0
YDR199W	3
YDR266C	969
YDL242W	41
YDR002W	3872
YDR214W	2071
YDR130C	315
YDL176W	246
YDR358W	377
YDR544C	0
YDR460W	408
snR84	80
YDR034W-B	59
YDL028C	554
YDR061W	997
YDR060W	3271
YDR169C-A	17
YDR363W	254
YDR422C	657
YDR119W	2373
tR(ACG)D	0
YDR097C	1052
YDR042C	18
YDL160C	426
YDR425W	229
snR13	21
YDR228C	556
YDR319C	315
YDR471W	6787
YDR089W	1046
tD(GUC)D	1
YDR275W	316
YDR043C	382
YDR129C	3095
YDR136C	0
YDL066W	3248
YDR302W	498
YDR239C	389
YDR539W	228
tK(CUU)D1	0
YDL125C	1730
YDR493W	370
YDR101C	1605
YDR182W-A	18
YDR212W	3068
YDR476C	336
YDL131W	4866
YDR458C	838
YDR081C	765
YDL071C	54
YDR113C	354
YDR168W	1177
YDR520C	321
YDR307W	843
YDR265W	358
YDL076C	507
YDL006W	431
YDL086W	344
YDR238C	3016
YDR077W	7718
YDR381C-A	388
YDL023C	3
YDL083C	10323
YDR036C	0
YDR057W	578
YDR513W	450
YDR487C	1231
YDR066C	129
YDR352W	508
YDR278C	0
YDR079C-A	280
YDR204W	266
YDL247W-A	10
YDL024C	32
tA(AGC)D	0
YDR109C	461
YDR466W	419
YDR427W	1929
YDL044C	297
YDL079C	167
YDR193W	0
YDR305C	309
YDR377W	1811
YDR219C	444
YDR416W	494
YDR365C	2191
YDL233W	260
YDR287W	279
YDR448W	391
YDR180W	489
tF(GAA)D	4
tT(AGU)D	0
YDR294C	1399
YDR198C	343
YDL163W	0
YDL119C	113
YDR501W	259
YDL214C	79
YDR264C	2339
YDR343C	190
YDR373W	634
YDR354W	918
YDR246W	349
YDR428C	247
YDR157W	12
YDR316W	1009
YDL142C	236
YDR253C	429
YDL112W	1361
YDR545W	8
YDL187C	1
YDL138W	548
YDR528W	402
YDR284C	1053
YDR050C	33817
YDL010W	123
YDL065C	770
YDR349C	1139
YDL098C	141
YDL234C	620
YDR118W	287
YDR118W-A	5
YDR159W	731
YDR111C	231
YDR128W	772
YDL034W	15
YDR065W	243
YDL004W	1279
YDR024W	10
YDL171C	5138
YDR083W	888
YDR457W	2514
YDR014W	173
YDR206W	1334
YDR478W	201
YDR169C	541
